Player_Names,Matches_Played,Substitution ,Minutes_Played,Goals,Expected_Goals,xG_Per_Match_Avg,Shots,Shots_On_Target,Shots_Per_Match_Avg,Shots_On_Target_Per_Match_Avg,Year,club_id
Andre,35,0,2931,16,14.81,0.48,88,34,2.85,1.1,2017,91
Edigar Junio ,21,5,1547,12,11.4,0.7,49,29,3.01,1.78,2017,83
Junior  Dutra,27,3,2022,9,10.43,0.49,75,25,3.52,1.17,2017,80
Luiz Fernando,21,12,1769,9,5.96,0.32,42,16,2.26,0.86,2017,82
Karim Benzema,35,1,3072,21,17.46,0.54,104,44,3.22,1.36,2018,4
Maxi Gomez,33,2,3148,13,12.92,0.39,82,28,2.47,0.84,2018,13
Iago Aspas,26,1,2369,20,12.47,0.5,69,32,2.77,1.28,2018,5
Jaime Mata,27,7,2569,14,12.44,0.46,59,25,2.18,0.92,2018,13
Inaki Williams,36,2,3148,12,13.59,0.41,75,33,2.26,1,2018,20
Cristhian Stuani,30,2,2897,19,16.47,0.54,77,39,2.53,1.28,2018,19
Chimy Avila,20,14,2131,10,7.63,0.34,88,24,3.92,1.07,2018,11
Raul de Tomas,32,1,2964,14,16.22,0.52,115,47,3.69,1.51,2018,16
Luis Suarez,31,2,2954,21,24.88,0.8,112,58,3.6,1.87,2018,3
Roger ,23,8,1999,13,14.1,0.67,71,30,3.37,1.43,2018,14
Willian Jose,28,3,2471,12,11.7,0.45,55,26,2.11,1,2018,20
Pablo Sarabia,30,3,2877,13,11.81,0.39,75,31,2.48,1.02,2018,8
Mikel Oyarzabal,36,1,3300,13,11.12,0.32,66,28,1.9,0.81,2018,19
Antoine Griezmann,37,0,3349,15,14.45,0.41,113,45,3.21,1.28,2018,2
Borja Iglesias,35,2,3246,17,16.4,0.48,90,38,2.63,1.11,2018,1
Lionel Messi,29,5,2849,36,25.49,0.85,170,87,5.67,2.9,2018,2
Jorge Molina,28,10,2819,14,11.28,0.38,57,23,1.92,0.78,2018,9
Charles,17,17,1861,14,13.91,0.71,63,30,3.22,1.53,2018,15
Wissam Ben Yedder,31,4,2975,18,17.22,0.55,76,36,2.43,1.15,2018,19
Morales ,35,2,3381,12,13.52,0.38,65,33,1.83,0.93,2018,14
Arkadiusz Milik,27,8,2560,17,12.4,0.46,111,51,4.12,1.89,2018,24
Duvan Zapata,32,5,3064,23,18.38,0.57,118,50,3.66,1.55,2018,25
Lorenzo Insigne,24,4,2191,10,9.23,0.4,120,37,5.2,1.6,2018,24
Cristiano Ronaldo,30,1,2857,21,21.65,0.72,177,68,5.89,2.26,2018,37
Ciro Immobile,31,5,3046,15,15.71,0.49,124,49,3.87,1.53,2018,22
Andrea Belotti,37,0,3533,15,15.99,0.43,125,47,3.36,1.26,2018,32
Fabio Quagliarella,37,0,3269,26,23.06,0.67,141,57,4.1,1.66,2018,31
Mario Mandzukic,23,2,2125,9,6.49,0.29,31,17,1.39,0.76,2018,37
Edin Dzeko,28,5,2741,9,13.56,0.47,131,50,4.54,1.73,2018,30
Andrea Petagna,35,1,3196,16,12.78,0.38,89,41,2.65,1.22,2018,24
Roberto Inglese,23,2,2075,9,7.86,0.36,47,21,2.15,0.96,2018,38
Josip Ilicic,23,8,2262,12,9.29,0.39,101,38,4.24,1.6,2018,25
Francesco Caputo,38,0,3641,16,16.1,0.42,96,43,2.5,1.12,2018,21
Leonardo Pavoletti,31,1,2903,16,11,0.36,84,33,2.75,1.08,2018,28
Gregoire Defrel,26,10,2388,11,8.3,0.33,47,23,1.87,0.91,2018,21
Dries Mertens,23,12,2416,16,10.43,0.41,89,39,3.5,1.53,2018,24
Stephan El Shaarawy,23,5,2213,11,7.22,0.31,70,30,3,1.29,2018,30
Gervinho ,27,3,2430,11,6.91,0.27,44,19,1.72,0.74,2018,32
Mauro Icardi,24,5,2314,11,14.86,0.61,73,29,3,1.19,2018,33
Krzysztof Piatek,34,3,3147,23,17.23,0.52,118,52,3.56,1.57,2018,39
Andrej Kramaric,28,2,2527,16,19.42,0.73,110,43,4.14,1.62,2018,43
Alassane Plea,28,6,2613,12,11.28,0.41,83,41,3.02,1.49,2018,41
Kai Havertz,33,1,3033,16,11.17,0.35,87,42,2.73,1.32,2018,45
Luka Jovic,25,7,2353,17,14.12,0.57,97,42,3.92,1.7,2018,48
Ante Rebic,23,5,2075,11,9.17,0.42,61,28,2.79,1.28,2018,54
Jadon Sancho,26,8,2602,13,6.85,0.25,40,21,1.46,0.77,2018,56
Alfred Finnbogason,17,1,1385,10,10.21,0.7,40,18,2.74,1.23,2018,44
Ondrej Duda,30,2,2661,11,5.88,0.21,54,20,1.93,0.71,2018,50
Paco Alcacer,11,15,1312,18,9.39,0.68,52,27,3.77,1.96,2018,47
Timo Werner,29,1,2582,16,15.49,0.57,107,39,3.94,1.43,2018,45
Benito Raman,19,11,1781,10,6.19,0.33,55,26,2.93,1.39,2018,47
Kevin Volland,32,2,2945,14,12.4,0.4,87,43,2.81,1.39,2018,51
Wout Weghorst,33,1,3061,17,16.11,0.5,73,34,2.27,1.06,2018,48
Ishak Belfodil,20,8,1965,18,10.14,0.49,88,36,4.25,1.74,2018,43
Marco Reus,27,0,2432,17,13.31,0.52,69,33,2.7,1.29,2018,56
Jean-Philippe Mateta,29,5,2587,14,11.71,0.43,97,34,3.56,1.25,2018,49
Sebastien Haller,23,6,2312,15,12.17,0.5,54,26,2.22,1.07,2018,56
Max Kruse,32,0,2975,11,9.39,0.3,91,40,2.91,1.28,2018,51
Robert Lewandowski,33,0,3090,22,29.27,0.9,144,51,4.43,1.57,2018,42
Yussuf Poulsen,27,4,2556,15,10.76,0.4,65,27,2.42,1,2018,45
Angel Di Maria,28,2,2418,12,10.44,0.41,97,30,3.81,1.18,2018,152
Remi Oudin,32,5,2719,10,7.73,0.27,78,24,2.73,0.84,2018,158
Nicolas Pepe,37,1,3533,22,20.08,0.54,118,60,3.17,1.61,2018,157
Emiliano Sala,16,3,1434,12,6.19,0.41,36,18,2.38,1.19,2018,165
Jonathan Bamba,35,3,3190,13,7.39,0.22,67,28,2,0.83,2018,156
M'Baye Niang,19,10,1911,11,7.44,0.37,64,25,3.18,1.24,2018,156
Neymar ,16,1,1517,15,12.62,0.79,54,25,3.38,1.57,2018,152
Edinson Cavani,20,1,1747,18,16.73,0.91,52,22,2.83,1.2,2018,152
Stephane Bahoken,31,1,2541,11,8.56,0.32,66,33,2.47,1.23,2018,165
Max Gradel,36,0,3446,11,14.51,0.4,120,42,3.31,1.16,2018,166
Florian Thauvin,30,3,2741,16,11.25,0.39,101,35,3.5,1.21,2018,153
Kylian Mbappe-Lottin,24,5,2488,33,31.17,1.19,125,70,4.77,2.67,2018,152
Wahbi Khazri,32,0,3000,13,10.74,0.34,94,36,2.98,1.14,2018,166
Falcao ,29,4,2699,15,14.21,0.5,94,41,3.31,1.44,2018,155
Gaetan Laborde,36,1,3115,11,8.53,0.26,86,27,2.62,0.82,2018,159
Andy Delort,36,0,3263,14,13.05,0.38,119,36,3.46,1.05,2018,159
Moussa Dembele,21,12,2154,15,14.74,0.65,90,39,3.97,1.72,2018,152
Memphis Depay,29,7,2900,10,13.43,0.44,110,39,3.6,1.28,2018,154
Lebo Mothiba,21,14,2154,10,7.03,0.31,36,19,1.59,0.84,2018,160
Francois Kamano,29,8,2698,10,9.09,0.32,82,33,2.89,1.16,2018,161
Luka Milivojevic,38,0,3651,12,11.15,0.29,57,24,1.48,0.62,2018,60
Joshua King,34,1,3143,12,13.56,0.41,72,23,2.18,0.7,2018,68
Paul Pogba,34,1,3233,13,15.99,0.47,105,49,3.09,1.44,2018,65
Mohamed Salah,37,1,3417,22,20.5,0.57,137,63,3.81,1.75,2018,61
Ashley Barnes,26,11,2569,12,13.25,0.49,65,30,2.4,1.11,2018,71
Glenn Murray,30,8,2684,13,11.58,0.41,54,21,1.91,0.74,2018,75
Richarlison ,32,3,2822,14,11.88,0.4,83,28,2.79,0.94,2018,70
Sadio Mane,35,1,3236,22,15.33,0.45,87,42,2.55,1.23,2018,61
Callum Wilson,29,1,2714,14,14.57,0.51,65,29,2.28,1.02,2018,78
Son Heung-Min,23,8,2152,12,7.02,0.31,74,29,3.27,1.28,2018,58
Harry Kane,27,1,2580,17,15.48,0.57,102,46,3.76,1.69,2018,58
Sergio Aguero,31,2,2566,21,19.45,0.72,118,43,4.37,1.59,2018,63
Eden Hazard,32,5,3115,16,10.82,0.33,93,43,2.84,1.31,2018,67
Pierre-Emerick Aubameyang,30,6,2905,22,21.71,0.71,94,39,3.07,1.28,2018,69
Gylfi Sigurdsson,36,2,3302,13,11.12,0.32,86,33,2.47,0.95,2018,70
Raheem Sterling,31,3,2930,17,14.19,0.46,77,38,2.5,1.23,2018,63
Jamie Vardy,30,4,2886,18,17.62,0.58,79,38,2.6,1.25,2018,59
Ayoze Perez,34,3,3099,12,7.83,0.24,55,27,1.69,0.83,2018,59
Alexandre Lacazette,27,8,2670,14,11.52,0.41,81,28,2.88,1,2018,69
Raul Jimenez,36,2,3285,13,15.91,0.46,111,33,3.21,0.95,2018,77
Lucas Paqueta,31,1,2962,10,9.04,0.29,95,40,3.05,1.28,2018,81
Everton ,24,3,2175,9,12.59,0.55,88,38,3.84,1.66,2018,86
Juan Cazares,25,6,2487,8,5.76,0.22,66,18,2.52,0.69,2018,86
Deyverson ,11,15,1367,9,7.63,0.53,41,19,2.85,1.32,2018,95
Pablo ,30,3,2808,12,10.94,0.37,64,29,2.17,0.98,2018,81
Leandro Damiao ,19,7,3236,10,13.28,0.39,67,27,1.97,0.79,2018,82
Yago Pikachu,34,1,3192,10,11.09,0.33,77,37,2.29,1.1,2018,91
Rodrygo ,30,5,2850,8,8.1,0.27,52,23,1.73,0.77,2018,85
Andres Rios,23,5,2188,7,7.37,0.32,43,18,1.87,0.78,2018,83
Roger Guedes ,11,1,1081,9,6.14,0.54,42,20,3.69,1.76,2018,80
Leandro Pereira ,26,8,2575,11,10.03,0.37,80,33,2.95,1.22,2018,93
Diego Souza,32,0,4177,11,11.43,0.26,51,21,1.16,0.48,2018,92
Pedro ,19,0,1689,9,9.07,0.51,56,18,3.15,1.01,2018,88
Nico Lupez,26,9,3931,11,8.69,0.21,79,33,1.91,0.8,2018,94
Nene ,29,6,2636,8,7.49,0.27,58,20,2.09,0.72,2018,84
Ricardo Oliveira,35,0,3231,13,16.67,0.49,92,41,2.71,1.21,2018,88
Gilberto ,18,3,1623,8,7,0.41,52,17,3.04,1,2018,93
Bruno Henrique ,27,6,2595,9,4.37,0.16,46,15,1.68,0.55,2018,79
Willian ,21,11,2153,10,10.2,0.45,66,29,2.91,1.28,2018,85
Gabriel Barbosa,34,1,3140,18,19.17,0.58,94,40,2.84,1.21,2018,88
Diego Rossi,35,1,3277,17,12.07,0.35,113,50,3.28,1.45,2019,96
Josef Martinez,32,0,3050,28,25.04,0.78,128,52,3.99,1.62,2019,97
Zlatan Ibrahimovic,31,0,2998,31,22.72,0.72,159,67,5.04,2.12,2019,116
Chris Wondolowski,24,8,2169,15,14.61,0.64,79,33,3.46,1.45,2019,109
Nani ,26,4,2464,12,8.82,0.34,64,25,2.47,0.96,2019,101
